id,choice1,choice2,state,money
10129_20180829,1,2,3,1
10129_20180829,1,2,2,0
10129_20180829,1,2,2,0
10129_20180829,1,1,2,0
10129_20180829,1,1,2,1
10129_20180829,1,1,2,1
10129_20180829,1,1,2,0
10129_20180829,1,1,2,0
10129_20180829,1,1,2,0
10129_20180829,2,2,3,1
10129_20180829,2,2,2,0
10129_20180829,2,2,3,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,2,1,3,0
10129_20180829,2,1,2,1
10129_20180829,2,1,2,0
10129_20180829,2,1,2,1
10129_20180829,2,1,2,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,2,1
10129_20180829,2,1,2,1
10129_20180829,2,1,3,0
10129_20180829,2,1,2,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,2,1,3,1
10129_20180829,2,1,2,1
10129_20180829,2,1,2,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,0
10129_20180829,1,2,2,0
10129_20180829,1,2,2,1
10129_20180829,1,2,3,0
10129_20180829,1,1,3,1
10129_20180829,1,2,2,1
10129_20180829,1,2,2,1
10129_20180829,1,2,2,1
10129_20180829,1,2,2,1
10129_20180829,1,2,3,0
10129_20180829,1,1,3,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,0
10129_20180829,1,2,2,1
10129_20180829,1,2,2,1
10129_20180829,1,2,2,0
10129_20180829,1,2,2,1
10129_20180829,1,2,2,0
10129_20180829,1,2,2,0
10129_20180829,1,2,2,0
10129_20180829,2,1,2,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,1
10129_20180829,2,1,2,1
10129_20180829,2,1,3,0
10129_20180829,2,2,3,0
10129_20180829,2,2,3,0
10129_20180829,1,2,2,1
10129_20180829,2,1,3,1
10129_20180829,1,2,2,1
10129_20180829,1,1,3,0
10129_20180829,2,2,3,0
10129_20180829,1,2,2,1
10129_20180829,1,2,3,1
10129_20180829,1,2,3,1
10129_20180829,1,2,3,1
10129_20180829,1,2,3,1
10129_20180829,1,2,3,0
10129_20180829,2,2,3,1
10129_20180829,2,1,2,0
10129_20180829,2,2,2,0
10129_20180829,2,2,3,0
10129_20180829,1,2,3,1
10129_20180829,2,1,3,0
10129_20180829,2,1,3,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,1
10129_20180829,2,1,2,0
10129_20180829,2,2,3,1
10129_20180829,2,2,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,2,2,3,0
10129_20180829,1,2,2,0
10129_20180829,1,2,2,1
10129_20180829,1,2,2,0
10129_20180829,1,2,3,0
10129_20180829,1,2,2,1
10129_20180829,1,2,3,0
10129_20180829,2,1,2,1
10129_20180829,2,1,2,0
10129_20180829,2,2,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,2,2,2,1
10129_20180829,2,2,3,0
10129_20180829,1,1,3,1
10129_20180829,1,1,3,1
10129_20180829,1,1,3,1
10129_20180829,1,1,3,0
10129_20180829,1,1,3,0
10129_20180829,1,1,2,0
10129_20180829,1,1,3,0
10129_20180829,1,2,2,0
10129_20180829,1,1,3,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,2,2,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,0
10129_20180829,1,2,2,0
10129_20180829,1,2,2,1
10129_20180829,1,2,2,1
10129_20180829,1,2,3,0
10129_20180829,1,2,2,0
10129_20180829,1,2,3,1
10129_20180829,1,1,2,0
10129_20180829,1,1,2,0
10129_20180829,2,2,3,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,2,1,3,0
10129_20180829,2,1,2,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,1,2,2,1
10129_20180829,1,1,2,0
10129_20180829,2,1,3,0
10129_20180829,2,2,3,1
10129_20180829,2,1,2,0
10129_20180829,2,1,3,0
10129_20180829,2,2,3,1
10129_20180829,2,2,3,0
10129_20180829,1,2,2,1
10129_20180829,1,2,2,0
10129_20180829,1,2,2,0
10129_20180829,2,1,3,1
10129_20180829,2,1,2,1
10129_20180829,1,2,2,1
10129_20180829,2,1,3,1
10129_20180829,1,2,2,1
10129_20180829,2,1,2,0
10129_20180829,2,2,3,0
10129_20180829,2,1,2,1
10129_20180829,2,2,2,1
10129_20180829,2,1,3,1
10129_20180829,2,1,2,0
10129_20180829,2,2,2,1
10129_20180829,2,2,3,0
10129_20180829,2,2,2,0
10129_20180829,2,1,2,0
10129_20180829,1,2,3,0
10129_20180829,1,1,2,1
10129_20180829,1,1,2,1
10129_20180829,1,1,3,1
10129_20180829,1,1,3,1
10129_20180829,1,1,2,1
10129_20180829,1,1,2,0
10129_20180829,1,1,2,0
10129_20180829,2,1,3,0
10129_20180829,2,1,2,0
10129_20180829,2,2,2,0
10129_20180829,1,1,2,1
10129_20180829,1,1,2,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,2,1,3,1
10129_20180829,2,1,3,0
10129_20180829,2,1,2,0
10129_20180829,1,2,2,1
10129_20180829,1,2,3,0
10129_20180829,1,2,2,1
10173_20180718,1,1,2,1
10173_20180718,1,1,2,1
10173_20180718,1,1,3,1
10173_20180718,1,1,3,1
10173_20180718,1,1,2,1
10173_20180718,1,1,2,1
10173_20180718,1,1,3,1
10173_20180718,1,1,2,0
10173_20180718,1,1,3,0
10173_20180718,1,1,3,1
10173_20180718,1,1,2,0
10173_20180718,1,2,2,0
10173_20180718,2,1,3,1
10173_20180718,2,1,3,1
10173_20180718,2,1,3,0
10173_20180718,2,1,3,1
10173_20180718,2,1,3,1
10173_20180718,2,1,3,1
10173_20180718,2,1,3,1
10173_20180718,2,1,2,1
10173_20180718,2,1,2,0
10173_20180718,2,1,3,0
