id,choice1,choice2,state,money
10195_20190319,1,1,3,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,3,0
10195_20190319,1,1,2,1
10195_20190319,1,1,2,0
10195_20190319,1,2,2,0
10195_20190319,1,1,3,1
10195_20190319,1,1,3,1
10195_20190319,1,1,3,1
10195_20190319,1,1,2,0
10195_20190319,2,2,3,0
10195_20190319,2,1,2,0
10195_20190319,1,1,2,0
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,3,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,0
10195_20190319,1,1,2,0
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,0
10195_20190319,1,1,2,1
10195_20190319,1,0,2,0
10195_20190319,1,1,2,1
10195_20190319,1,1,3,1
10195_20190319,1,1,3,0
10195_20190319,1,1,2,0
10195_20190319,1,1,3,0
10195_20190319,2,2,2,1
10195_20190319,2,2,3,0
10195_20190319,2,2,3,1
10195_20190319,2,2,2,1
10195_20190319,1,2,3,0
10195_20190319,2,2,3,1
10195_20190319,1,2,3,1
10195_20190319,1,2,2,1
10195_20190319,1,2,2,1
10195_20190319,1,2,2,1
10195_20190319,1,2,2,0
10195_20190319,1,2,3,0
10195_20190319,1,2,2,1
10195_20190319,1,2,2,1
10195_20190319,1,2,2,0
10195_20190319,1,1,2,1
10195_20190319,1,1,3,0
10195_20190319,1,1,3,0
10195_20190319,1,1,2,0
10195_20190319,2,2,3,0
10195_20190319,1,1,2,0
10195_20190319,1,2,3,1
10195_20190319,1,2,2,1
10195_20190319,1,2,2,0
10195_20190319,2,2,2,1
10195_20190319,2,2,3,0
10195_20190319,1,1,2,0
10195_20190319,1,2,2,0
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,2,2,2,0
10195_20190319,2,2,2,1
10195_20190319,2,2,3,0
10195_20190319,2,2,3,0
10195_20190319,1,1,2,1
10195_20190319,1,1,3,0
10195_20190319,2,1,3,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,1
10195_20190319,1,1,2,0
10195_20190319,2,1,3,0
10195_20190319,1,1,3,0
10195_20190319,1,2,2,1
10195_20190319,1,2,2,0
10195_20190319,1,1,2,0
10195_20190319,1,2,3,0
10195_20190319,1,1,2,0
10195_20190319,2,2,3,0
10195_20190319,1,2,3,1
10195_20190319,2,2,3,0
10195_20190319,1,1,2,0
10195_20190319,1,1,2,1
10195_20190319,1,1,3,1
10195_20190319,1,2,2,0
10195_20190319,1,1,2,0
10195_20190319,1,2,2,0
10195_20190319,1,2,3,0
10195_20190319,2,0,3,0
10195_20190319,2,0,3,0
10195_20190319,2,2,2,1
10195_20190319,2,2,3,0
10195_20190319,2,2,2,1
10195_20190319,2,2,3,1
10195_20190319,2,2,3,1
10195_20190319,2,2,3,0
10195_20190319,2,2,3,0
10195_20190319,2,2,2,0
10195_20190319,2,2,2,0
10195_20190319,2,2,3,1
10195_20190319,2,2,3,1
10195_20190319,2,2,3,0
10195_20190319,1,1,2,1
10195_20190319,2,2,2,0
10195_20190319,1,1,2,0
10195_20190319,1,1,3,1
10195_20190319,1,1,2,0
10195_20190319,1,1,2,0
10195_20190319,1,1,2,1
10195_20190319,1,1,2,0
10195_20190319,1,1,3,0
10195_20190319,1,1,3,1
